Player1,Player2,P1_Wins,P2_Wins
T4O,66O,0.0,2.0
95O,64O,2.0,0.0
33O,A7O,2.0,0.0
74O,Q9O,2.0,0.0
K6O,Q9O,2.0,0.0
QTO,J6S,2.0,0.0
T6O,Q9S,0.0,2.0
A6O,95O,0.0,2.0
A3S,88O,0.0,2.0
73O,T2O,0.0,2.0
T5O,AKO,2.0,0.0
T7O,63O,0.0,2.0
T6O,Q5S,0.0,2.0
T8O,QTO,0.0,2.0
T3O,T7O,0.0,2.0
J6O,A9S,0.0,2.0
K5O,33O,2.0,0.0
Q2O,AJS,0.0,2.0
KQO,J3S,0.0,2.0
T6O,92S,0.0,2.0
ATO,AJO,0.0,2.0
85O,J2O,2.0,0.0
87O,52S,2.0,0.0
A3O,42S,2.0,0.0
JJO,99O,2.0,0.0
94O,KTO,2.0,0.0
Q2O,86O,2.0,0.0
A4S,QJO,2.0,0.0
A8O,J5O,0.0,2.0
J7O,52O,2.0,0.0
53S,32O,0.0,2.0
77O,Q5S,2.0,0.0
Q3O,A9S,0.0,2.0
86O,42O,0.0,2.0
T6S,J7S,0.0,2.0
J2S,T9S,0.0,2.0
J9O,J3S,2.0,0.0
53O,73S,0.0,2.0
Q9O,Q3S,2.0,0.0
A9O,52O,2.0,0.0
Q4O,87O,0.0,2.0
AKO,53O,0.0,2.0
54O,72O,2.0,0.0
AQO,52O,0.0,2.0
99O,87O,2.0,0.0
QJO,A5O,0.0,2.0
AJO,T9O,2.0,0.0
Q6O,J6O,2.0,0.0
94O,JJO,0.0,2.0
87S,54O,0.0,2.0
95S,AQO,0.0,2.0
KJO,A9O,0.0,2.0
AKS,54S,0.0,2.0
ATS,T7O,2.0,0.0
J7S,A5O,2.0,0.0
Q2O,Q9O,2.0,0.0
K5O,A4O,0.0,2.0
J7S,86S,2.0,0.0
97O,82S,2.0,0.0
A3O,KJO,0.0,2.0
Q5S,84S,2.0,0.0
A3S,K4S,2.0,0.0
KQS,T7O,0.0,2.0
84S,T9O,0.0,2.0
93O,AQO,0.0,2.0
J5O,J7O,0.0,2.0
84O,98O,0.0,2.0
62O,K7S,0.0,2.0
96O,Q3O,0.0,2.0
82O,Q6O,0.0,2.0
Q9S,22O,2.0,0.0
52O,KTO,0.0,2.0
K2S,92O,2.0,0.0
K4O,Q5O,0.0,2.0
65O,83O,0.0,2.0
Q8S,A9O,2.0,0.0
93O,T7O,0.0,2.0
ATO,AKO,0.0,2.0
J3O,22O,0.0,2.0
A5O,85O,2.0,0.0
86S,QQO,0.0,2.0
T4O,96O,2.0,0.0
98O,75O,2.0,0.0
JTO,99O,0.0,2.0
AQO,86O,2.0,0.0
T8O,A7O,0.0,2.0
93O,54O,2.0,0.0
42O,75O,2.0,0.0
Q5O,T5O,0.0,2.0
75O,T2S,0.0,2.0
Q4O,97O,2.0,0.0
QJO,74S,2.0,0.0
JJO,63O,0.0,2.0
KTO,92S,0.0,2.0
77O,Q2O,2.0,0.0
J3O,T4O,0.0,2.0
J5O,JTS,0.0,2.0
63S,T6O,0.0,2.0
J3O,93S,0.0,2.0
97S,J9O,2.0,0.0
84O,82O,2.0,0.0
53O,76O,2.0,0.0
73O,86O,0.0,2.0
AKS,QJO,0.0,2.0
J5O,T6O,2.0,0.0
95O,AJO,0.0,2.0
AJO,73O,2.0,0.0
55O,84O,2.0,0.0
Q5O,T9O,2.0,0.0
52O,86O,0.0,2.0
T8S,K4O,0.0,2.0
T2S,KQO,0.0,2.0
T3O,83O,0.0,2.0
82O,Q5O,0.0,2.0
55O,T2S,0.0,2.0
J5O,62O,2.0,0.0
63O,82S,0.0,2.0
43S,A6O,0.0,2.0
64O,75O,0.0,2.0
J3O,43O,2.0,0.0
AAO,K3O,2.0,0.0
63O,52S,0.0,2.0
84O,KTO,2.0,0.0
97O,K4S,0.0,2.0
K2O,J3O,2.0,0.0
86O,52O,2.0,0.0
42O,43O,0.0,2.0
94S,A4O,0.0,2.0
84O,Q8S,0.0,2.0
62O,KQO,0.0,2.0
J8S,T7O,2.0,0.0
T4S,T5O,0.0,2.0
97O,QTO,2.0,0.0
98O,92O,2.0,0.0
62O,Q5O,0.0,2.0
83O,J8O,0.0,2.0
53S,85S,0.0,2.0
Q2O,A7O,0.0,2.0
K4S,97S,0.0,2.0
64O,J4O,2.0,0.0
94O,Q8S,2.0,0.0
44O,T9S,2.0,0.0
K7O,Q3O,0.0,2.0
T6O,T2O,2.0,0.0
J4O,32O,0.0,2.0
A2O,98O,2.0,0.0
K7S,J4O,0.0,2.0
J7S,53O,0.0,2.0
95S,K9S,0.0,2.0
32S,KJO,0.0,2.0
Q3S,T3O,2.0,0.0
T6O,62O,2.0,0.0
76O,97S,0.0,2.0
73O,A7O,0.0,2.0
T7O,J6O,2.0,0.0
63O,J6S,0.0,2.0
53S,J2S,0.0,2.0
K4O,98S,0.0,2.0
K6O,87O,2.0,0.0
Q6O,K4O,2.0,0.0
Q5O,96S,0.0,2.0
82O,T9O,0.0,2.0
Q6O,84O,0.0,2.0
AKS,KQO,2.0,0.0
AJO,K8O,0.0,2.0
Q7S,43S,0.0,2.0
T4O,T2O,2.0,0.0
22O,94O,2.0,0.0
62O,95O,2.0,0.0
85O,T7S,2.0,0.0
J7O,K8S,2.0,0.0
J7O,T6O,2.0,0.0
J7O,92O,2.0,0.0
